Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,10512.30,10545.45,10477.95,10531.50,10531.50,155600
2017-12-27,10531.05,10552.40,10469.25,10490.75,10490.75,165200
2017-12-28,10498.20,10534.55,10460.45,10477.90,10477.90,272900
2017-12-29,10492.35,10538.70,10488.65,10530.70,10530.70,152000
2018-01-02,10477.55,10495.20,10404.65,10442.20,10442.20,153400
2018-01-03,10482.65,10503.60,10429.55,10443.20,10443.20,167300
2018-01-04,10469.40,10513.00,10441.45,10504.80,10504.80,174900
2018-01-05,10534.25,10566.10,10520.10,10558.85,10558.85,180900
2018-01-08,10591.70,10631.20,10588.55,10623.60,10623.60,169000
2018-01-09,10645.10,10659.15,10603.60,10637.00,10637.00,205000
2018-01-10,10652.05,10655.50,10592.70,10632.20,10632.20,176400
2018-01-11,10637.05,10664.60,10612.35,10651.20,10651.20,153800
2018-01-12,10682.55,10690.40,10597.10,10681.25,10681.25,175200
2018-01-15,10718.50,10782.65,10713.80,10741.55,10741.55,175900
2018-01-16,10761.50,10762.35,10687.85,10700.45,10700.45,211000
2018-01-17,10702.45,10803.00,10666.75,10788.55,10788.55,252700
2018-01-18,10873.40,10887.50,10782.40,10817.00,10817.00,312000
2018-01-19,10829.20,10906.85,10793.90,10894.70,10894.70,207600
2018-01-22,10883.20,10975.10,10881.40,10966.20,10966.20,231600
2018-01-23,10997.40,11092.90,10994.55,11083.70,11083.70,284600
2018-01-24,11069.35,11110.10,11046.15,11086.00,11086.00,283400
2018-01-25,11095.60,11095.60,11009.20,11069.65,11069.65,330300
2018-01-29,11079.35,11171.55,11075.95,11130.40,11130.40,241700
2018-01-30,11120.85,11121.10,11033.90,11049.65,11049.65,228000
2018-01-31,11018.80,11058.50,10979.30,11027.70,11027.70,245900
2018-02-01,11044.55,11117.35,10878.80,11016.90,11016.90,306200
2018-02-02,10938.20,10954.95,10736.10,10760.60,10760.60,282700
2018-02-05,10604.30,10702.75,10586.80,10666.55,10666.55,240100
2018-02-06,10295.15,10594.15,10276.30,10498.25,10498.25,266500
2018-02-07,10607.20,10614.00,10446.40,10476.70,10476.70,250400
2018-02-08,10518.50,10637.80,10479.55,10576.85,10576.85,232200
2018-02-09,10416.50,10480.20,10398.20,10454.95,10454.95,191600
2018-02-12,10518.20,10555.50,10485.40,10539.75,10539.75,217400
2018-02-14,10585.75,10590.55,10456.65,10500.90,10500.90,229200
2018-02-15,10537.90,10618.10,10511.05,10545.50,10545.50,210600
2018-02-16,10596.20,10612.90,10434.05,10452.30,10452.30,184300
2018-02-19,10488.90,10489.35,10302.75,10378.40,10378.40,187300
2018-02-20,10391.00,10429.35,10347.65,10360.40,10360.40,187700
2018-02-21,10426.00,10426.10,10349.60,10397.45,10397.45,234100
2018-02-22,10354.35,10397.55,10340.65,10382.70,10382.70,313600
2018-02-23,10408.10,10499.10,10396.65,10491.05,10491.05,210600
2018-02-26,10526.55,10592.95,10520.20,10582.60,10582.60,171900
2018-02-27,10615.20,10631.65,10537.25,10554.30,10554.30,187500
2018-02-28,10488.95,10535.50,10461.55,10492.85,10492.85,286000
2018-03-01,10479.95,10525.50,10447.15,10458.35,10458.35,176000
2018-03-05,10428.30,10428.70,10323.90,10358.85,10358.85,194000
2018-03-06,10420.50,10441.35,10215.90,10249.25,10249.25,222900
2018-03-07,10232.95,10243.35,10141.55,10154.20,10154.20,249500
2018-03-08,10216.25,10270.35,10146.40,10242.65,10242.65,226400
2018-03-09,10271.30,10296.70,10211.90,10226.85,10226.85,186500
2018-03-12,10301.60,10433.65,10295.45,10421.40,10421.40,216400
2018-03-13,10389.50,10478.60,10377.85,10426.85,10426.85,266700
2018-03-14,10393.05,10420.35,10336.30,10410.90,10410.90,181400
2018-03-15,10405.45,10420.00,10346.20,10360.15,10360.15,173900
2018-03-16,10345.15,10346.30,10180.25,10195.15,10195.15,328500
2018-03-19,10215.35,10224.55,10075.30,10094.25,10094.25,210200
2018-03-20,10051.55,10155.65,10049.10,10124.35,10124.35,203000
2018-03-21,10181.95,10227.30,10132.95,10155.25,10155.25,204800
2018-03-22,10167.50,10207.85,10105.40,10114.75,10114.75,230500
2018-03-23,9968.80,10027.70,9951.90,9998.05,9998.05,285700
2018-03-26,9989.15,10143.50,9958.55,10130.65,10130.65,262600
2018-03-27,10188.00,10207.90,10139.65,10184.15,10184.15,225700
2018-03-28,10143.60,10158.35,10096.90,10113.70,10113.70,344400
2018-04-02,10151.65,10220.10,10127.75,10211.80,10211.80,225400
2018-04-03,10186.85,10255.35,10171.05,10245.00,10245.00,205300
2018-04-04,10274.60,10279.85,10111.30,10128.40,10128.40,231100
2018-04-05,10228.45,10331.80,10227.45,10325.15,10325.15,236800
2018-04-06,10322.75,10350.45,10290.85,10331.60,10331.60,200200
2018-04-09,10333.70,10397.70,10328.50,10379.35,10379.35,221600
2018-04-10,10412.90,10424.85,10381.50,10402.25,10402.25,251700
2018-04-11,10428.15,10428.15,10355.60,10417.15,10417.15,250400
2018-04-12,10410.65,10469.90,10395.25,10458.65,10458.65,238600
2018-04-13,10495.30,10519.90,10451.45,10480.60,10480.60,213100
2018-04-16,10398.30,10540.15,10396.35,10528.35,10528.35,195000
2018-04-17,10557.30,10560.45,10495.65,10548.70,10548.70,206100
2018-04-18,10578.90,10594.20,10509.70,10526.20,10526.20,205400
2018-04-19,10563.65,10572.20,10546.20,10565.30,10565.30,262600
2018-04-20,10560.35,10582.35,10527.45,10564.05,10564.05,244600
2018-04-23,10592.80,10638.35,10514.95,10584.70,10584.70,194200
2018-04-24,10578.10,10636.80,10569.00,10614.35,10614.35,219200
2018-04-25,10612.40,10612.60,10536.45,10570.55,10570.55,189200
2018-04-26,10586.50,10628.40,10559.65,10617.80,10617.80,335100
2018-04-27,10651.65,10719.80,10647.55,10692.30,10692.30,0
2018-04-30,10705.75,10759.00,10704.60,10739.35,10739.35,173800
2018-05-02,10783.85,10784.65,10689.80,10718.05,10718.05,229700
2018-05-03,10720.15,10720.60,10647.45,10679.65,10679.65,185200
2018-05-04,10700.45,10700.45,10601.60,10618.25,10618.25,186500
2018-05-07,10653.15,10725.65,10635.65,10715.50,10715.50,168400
2018-05-08,10757.90,10758.55,10689.40,10717.80,10717.80,269800
2018-05-09,10693.35,10766.25,10689.85,10741.70,10741.70,215400
2018-05-10,10779.65,10785.55,10705.00,10716.55,10716.55,192100
2018-05-11,10741.95,10812.05,10724.45,10806.50,10806.50,203100
2018-05-14,10815.15,10834.85,10774.75,10806.60,10806.60,171400
2018-05-15,10812.60,10929.20,10781.40,10801.85,10801.85,254300
2018-05-16,10751.95,10790.45,10699.70,10741.10,10741.10,231100
2018-05-17,10775.60,10777.25,10664.50,10682.70,10682.70,214100
2018-05-18,10671.85,10674.95,10589.10,10596.40,10596.40,223000
2018-05-21,10616.70,10621.70,10505.80,10516.70,10516.70,0
2018-05-22,10518.45,10558.60,10490.55,10536.70,10536.70,241700
2018-05-23,10521.10,10533.55,10417.80,10430.35,10430.35,290900
2018-05-24,10464.85,10535.15,10419.80,10513.85,10513.85,297600
2018-05-25,10533.05,10628.05,10524.00,10605.15,10605.15,260800
2018-05-28,10648.35,10709.80,10640.55,10688.65,10688.65,232600
2018-05-29,10689.40,10717.25,10616.10,10633.30,10633.30,225800
2018-05-30,10579.00,10648.70,10558.45,10614.35,10614.35,238700
2018-05-31,10670.10,10763.80,10620.40,10736.15,10736.15,610300
2018-06-01,10738.45,10764.75,10681.50,10696.20,10696.20,220600
2018-06-04,10765.95,10770.30,10618.35,10628.50,10628.50,203800
2018-06-05,10630.70,10633.15,10550.90,10593.15,10593.15,167700
2018-06-06,10603.45,10698.35,10587.50,10684.65,10684.65,189900
2018-06-07,10722.60,10818.00,10722.60,10768.35,10768.35,220900
2018-06-08,10736.40,10779.45,10709.05,10767.65,10767.65,209400
2018-06-11,10781.85,10850.55,10777.05,10786.95,10786.95,211400
2018-06-12,10816.15,10856.55,10789.40,10842.85,10842.85,198300
2018-06-13,10887.50,10893.25,10842.65,10856.70,10856.70,213400
2018-06-14,10832.90,10833.70,10773.55,10808.05,10808.05,184300
2018-06-15,10808.65,10834.00,10755.40,10817.70,10817.70,305400
2018-06-18,10830.20,10830.20,10787.35,10799.85,10799.85,196600
2018-06-19,10789.45,10789.45,10701.20,10710.45,10710.45,224500
2018-06-20,10734.65,10781.80,10724.05,10772.05,10772.05,193500
2018-06-21,10808.45,10809.60,10725.90,10741.10,10741.10,223600
2018-06-22,10742.70,10837.00,10710.45,10821.85,10821.85,229800
2018-06-25,10822.90,10831.05,10753.05,10762.45,10762.45,229600
2018-06-26,10742.70,10805.25,10732.55,10769.15,10769.15,220000
2018-06-27,10785.50,10785.50,10652.40,10671.40,10671.40,246000
2018-06-28,10660.80,10674.20,10557.70,10589.10,10589.10,352300
2018-06-29,10612.85,10723.05,10612.35,10714.30,10714.30,242800
2018-07-02,10732.35,10736.15,10604.65,10657.30,10657.30,295400
2018-07-03,10668.60,10713.30,10630.25,10699.90,10699.90,202100
2018-07-04,10715.00,10777.15,10677.75,10769.90,10769.90,173900
2018-07-05,10786.05,10786.05,10726.25,10749.75,10749.75,220500
2018-07-06,10744.15,10816.35,10735.05,10772.65,10772.65,0
2018-07-09,10838.30,10860.35,10807.15,10852.90,10852.90,183600
2018-07-10,10902.75,10956.90,10876.65,10947.25,10947.25,197000
2018-07-11,10956.40,10976.65,10923.00,10948.30,10948.30,222300
2018-07-12,11006.95,11078.30,10999.65,11023.20,11023.20,248300
2018-07-13,11056.90,11071.35,10999.75,11018.90,11018.90,0
2018-07-16,11018.95,11019.50,10926.25,10936.85,10936.85,210500
2018-07-17,10939.65,11018.50,10925.60,11008.05,11008.05,210600
2018-07-18,11060.20,11076.20,10956.30,10980.45,10980.45,225500
2018-07-19,10999.50,11006.50,10935.45,10957.10,10957.10,215400
